Latitude	Longitude	stopID	stopName
43.5414	-80.2441	0347	Wellington St. at Wellington Plaza 
43.5458	-80.2455	0349	Guelph Central Station
43.5458	-80.2455	0350	Guelph Central Station
43.5418	-80.2481	0351	Gordon St. at Nottingham St.
43.5408	-80.2452	0352	Gordon St. at Wellington St.
43.5383	-80.2413	0353	Gordon St. at Water St.
43.5372	-80.2398	0354	Gordon St. at Forbes Ave.
43.534	-80.2355	0355	Gordon St. at Dean Ave.
43.5315	-80.2319	0356	Gordon St. at College Ave.
43.5291	-80.2238	0357	University Centre
43.5331	-80.216	0358	Stone Rd. E. at Arbour Medical Centre
43.539	-80.2081	0359	Victoria Rd. S. at Stone Rd. E.
43.5521	-80.2235	0360	535 York Rd. at Tim Hortons
43.5545	-80.2202	0361	York Rd. at Beaumont Cres.
43.5569	-80.2168	0362	728 York Rd.
43.5588	-80.2142	0363	785 York Rd.
43.5615	-80.2105	0364	York Rd. At Watson Pkwy. N.
43.5666	-80.2115	0365	Watson Pkwy. N. opposite Library
43.5703	-80.2132	0366	Watson Pkwy. N. at Fleming Rd.
43.5741	-80.2185	0367	Watson Pkwy. N. at Grange Rd.
43.5767	-80.2221	0368	Watson Pkwy. N. at  Eastview Rd.
43.5727	-80.2315	0369	Eastview Rd. at Summit Ridge Dr.
43.5701	-80.2351	0370	Eastview Rd. at Starwood Dr.
43.5674	-80.2388	0371	Eastview Rd. at Mountford Dr.
43.5654	-80.2415	0372	Eastview Rd. at Victoria Rd.
43.5672	-80.245	0373	211 Victoria Rd. N.
43.5696	-80.2486	0374	Victoria Rd. N. at Eramosa Rd.
43.572	-80.2518	0375	Victoria Rd. N. at Speedvale Ave. E.
43.5753	-80.2563	0376	Victoria Rd. N. at Brant Ave.
43.5781	-80.2602	0377	Victoria Rd. N. at Woodlawn Rd. E.
43.5806	-80.2636	0378	Victoria Rd. N. opposite Trillium Waldorf
43.579	-80.2667	0379	Inverness Dr. at Wilton Rd.
43.5763	-80.2626	0380	Inverness Dr. at Woodlawn Rd.
43.574	-80.2652	0381	Woodlawn Rd. E. at Golfview Dr.
43.5719	-80.2682	0382	Woodlawn Rd. E. at Country Club Dr.
43.5686	-80.2727	0383	Woodlawn Rd. E. at Riverside Glen
43.566	-80.2763	0384	Woodlawn Rd. E. at Canadian Tire 
43.5641	-80.2789	0385	Woodlawn Rd. W. at Walmart
43.5584	-80.2801	0386	Nicklin Rd. at Burns Dr.
43.5573	-80.2762	0387	Bailey Ave. at Kathleen St.
43.5555	-80.2726	0388	Kathleen St. at Speedvale Ave. W.
43.5532	-80.2741	0389	Westmount Rd. at Kimberley Dr.
43.5502	-80.27	0390	St. Joseph's Health Centre
43.5598	-80.2696	0391	Westmount Rd. at Division St.
43.5486	-80.2678	0392	Westmount Rd. at Lourdes
43.5455	-80.2635	0393	Westmount Rd. at London Rd. W.
43.5458	-80.2614	0394	Yorkshire St. N. at Home St. 
43.5454	-80.2584	0395	Suffolk St. W. at Glasgow St.
43.5463	-80.2567	0396	Suffolk St. at Dublin St. Church
43.5473	-80.2547	0397	160 Woolwich St.
43.5456	-80.249	0398	Wyndham St. N. at IF Shoe Store
43.5458	-80.2455	0399	Guelph Central Station
43.5458	-80.2455	0400	Guelph Central Station
43.5441	-80.241	0401	Neeve St. at Ontario St.
43.5447	-80.2371	0402	Ontario St. at Manitoba St.
43.5452	-80.2347	0403	168 Ontario St.
43.5455	-80.2329	0404	Ontario St. at York Rd.
43.5467	-80.2308	0405	York Rd. at Morris St.
43.5491	-80.2276	0406	York Rd. at Brockville Ave.
43.5508	-80.2253	0407	York Rd. at Audrey Ave.
43.5521	-80.2235	0408	535 York Rd. at Tim Hortons
43.5544	-80.2204	0409	York Rd. at Beaumont Cres.
43.5587	-80.2144	0410	728 York Rd.
43.5615	-80.2105	0411	895 York Rd.
43.5613	-80.2108	0412	York Rd. at Watson Pkwy. N.
43.5635	-80.2079	0413	York Rd. at Graniteworx
43.5645	-80.2055	0414	Watson Rd. S. at York Rd.
43.5624	-80.2026	0415	Watson Rd. S. at Airpark Pl.
43.5605	-80.1999	0416	Watson Rd. S. at Guelph Transit Centre
43.558	-80.199	0417	Watson Pkwy. S. at Dunlop Dr.
43.559	-80.2029	0418	Watson Pkwy. S. at Cargill 
43.5603	-80.2062	0419	Watson Pkwy. S. at Taggert St.
43.5614	-80.211	0420	York Rd. at Watson Pkwy. N.
43.5583	-80.2152	0421	York Rd. at Yorkhaven Pl.
43.557	-80.217	0422	York Rd. at Royal City Jaycees Park
43.5549	-80.2199	0423	York Rd. at Beaumont Cres.
43.5516	-80.2245	0424	York Rd. at Victoria Rd.
43.549	-80.2279	0425	York Rd. at Brockville Ave.
43.5475	-80.23	0426	York Rd. at Harris St.
43.5456	-80.2331	0427	Ontario St. at Huron St. 
43.5449	-80.2372	0428	70 Ontario St.
43.5443	-80.2402	0429	Ontario St. at Neeve St.
43.5458	-80.2455	0430	Guelph Central Station
43.5458	-80.2455	0500	Guelph Central Station
43.5418	-80.2481	0501	Gordon St. at Nottingham St.
43.5408	-80.2452	0502	Gordon St. at Wellington St.
43.5383	-80.2413	0503	Gordon St. at Water St.
43.5371	-80.2398	0504	Gordon St. at Forbes Ave.
43.5334	-80.2345	0505	Gordon St. at Dean Ave.
43.5315	-80.2319	0506	Gordon St. at College Ave.
43.5291	-80.2238	0507	University Centre
43.5275	-80.2264	0508	Gordon St. at Stone Rd. W.
43.5252	-80.2211	0509	Gordon St. at Harvard Rd. 
43.5221	-80.2132	0510	Gordon St. at Kortright Rd. 
